"Num","PrecinctName","POLLINGLOC","ADDRESS","COUNCIL","USCON","STSEN","STHOD","TOTAL","TOTAL18","BLACKNH","WHITENH","TOTALHISP","ASIANNH","OBJECTID","GlobalID"
"203","Charles","B. C. CHARLES ELEM SCH","701 MENCHVILLE RD","CENTRAL","C03","S024","H070","5612","4386","1174","3347","436","416","5","{51D8EEA5-8AAD-4684-8734-54200B7B4E9E}"
"204","Mariners' Museum","THE MARINERSâ€™ MUSEUM","100 MUSEUM DR","CENTRAL","C03","S024","H070","5823","5381","3637","1594","388","105","21","{202B2ECD-BDF1-4ED0-BF58-39444483AF36}"
"205","Deep Creek","MOOSE LODGE","1711 WARWICK MOOSE LN","CENTRAL","C03","S024","H070","3827","3109","524","2818","214","132","7","{61C69F7B-D4BE-40F0-903F-5A685F714EBF}"
"208","Hidenwood","HIDENWOOD ELEM SCH","501 BLOUNT POINT RD","CENTRAL","C03","S024","H070","2081","1725","131","1730","96","57","12","{F1996CA7-0F3C-46B4-98D5-006EB13B2F36}"
"211","Palmer","L. F. PALMER ELEM SCH","100 PALMER LN","CENTRAL","C03","S023","H085","7677","5779","2235","2748","1962","375","27","{F4C1A769-E26E-4234-8C00-985D31C7AD64}"
"212","Riverside","RIVERSIDE ELEM SCH","1100 COUNTRY CLUB RD","CENTRAL","C03","S024","H070","1821","1500","70","1560","64","63","32","{93D2B67C-FAED-4107-B033-612E12EE3B3B}"
"216","Yates","YATES ELEM SCH","73 MAXWELL LN","CENTRAL","C03","S024","H070","2224","1850","440","1516","117","79","44","{B6BA7589-D569-4580-9868-3E67E6662CAA}"
"217","Riverview","RIVERVIEW GYMNASTIC CTR","125 CITY FARM RD","CENTRAL","C03","S024","H070","3118","2527","502","2119","160","223","45","{D9CE4764-A229-4B6E-BE78-A60548D48377}"
"218","Kiln Creek","KILN CREEK ELEM SCH","1501 KILN CREEK PKY","CENTRAL","C03","S023","H085","6945","5681","1849","3471","769","592","18","{9AF14AF8-EB22-433A-8C17-272B31DF535A}"
"219","Deer Park","DEER PARK ELEM SCH","11541 JEFFERSON AVE","CENTRAL","C03","S023","H085","8958","7240","3784","3126","1264","505","8","{C3400871-4CE1-4244-8C25-F965F92BCB79}"
"220","Jenkins","JENKINS ELEM SCH","80 MENCHVILLE RD","CENTRAL","C03","S024","H070","6815","5145","3133","2443","619","307","16","{764016C1-D823-460E-826F-4A3BF100EB41}"
"302","Briarfield","AN ACHIEVABLE DREAM MID & HIGH SCH","5720 MARSHALL AVE","SOUTH","C03","S023","H085","4877","3775","2668","1179","748","61","3","{520B654F-05EC-4279-B8F9-A8B040F48C50}"
"303","Carver","CARVER ELEM SCH","6160 JEFFERSON AVE","SOUTH","C03","S023","H085","2922","2234","1750","822","178","28","4","{52F3607B-68D8-412C-95DD-BAB01346C87B}"
"304","Chestnut","DOCHIKI CLUB","2705 CHESTNUT AVE","SOUTH","C03","S023","H085","1698","1258",,,,,"6","{618AF671-7329-4F1D-B319-CAA30FC0BB64}"
"305","Downtown","CITY COUNCIL LOBBY","2400 WASHINGTON AVE","SOUTH","C03","S023","H085","3646","3291","1679","1179","507","137","10","{DAF885D2-7EC7-4497-8B59-F9CD7C365D69}"
"308","Jefferson","MARSHALL COURTS RECREATION CTR","3301 MARSHALL AVE","SOUTH","C03","S023","H085","1744","1254","1551","60","52","2","15","{36F728F2-FC5C-4E77-A4C2-860C6BBFF4CB}"
"309","Magruder","DISCOVERY STEM ACADEMY","1712 CHESTNUT AVE","SOUTH","C03","S023","H085","1625","1198","1414","83","45","1","20","{7D7A5A37-BB1D-4F6E-A825-1CDDF5540557}"
"310","Marshall","MARSHALL EARLY LEARNING CENTER","743 24TH ST","SOUTH","C03","S023","H085","2313","1553","2089","71","65","2","22","{99E5DD5C-8714-46B0-B648-47AADB83768E}"
"311","Newmarket","AMERICAN LEGION POST 25","7609 MARSHALL AVE","SOUTH","C03","S023","H085","4311","3488","2652","1286","167","55","24","{4771B3F0-208A-4793-9A56-37B7D536F871}"
"312","Newsome Park","NEWSOME PARK ELEM SCH","4200 MARSHALL AVE","SOUTH","C03","S023","H085","1176","797","1083","49","24","8","48","{12C8ED1C-E940-444D-943F-D02A37874CC6}"
"313","Reed","DOWNING-GROSS CULTURAL CTR","2410 WICKHAM AVE","SOUTH","C03","S023","H085","4229","2863","3888","113","104","8","28","{A4F6CA61-E6A1-42AC-8B37-15BAC960178C}"
"314","River","VIRGINIA WAR MEMORIAL MUSEUM","9285 WARWICK BLVD","SOUTH","C03","S024","H085","2403","1964","1087","1050","107","55","31","{94BD4FBC-FCEB-4FD5-B138-97C042999B9D}"
"315","Sedgefield","SEDGEFIELD ELEM SCH","804 MAIN ST","SOUTH","C03","S023","H085","3003","2427","912","1663","196","115","35","{BE5F5E69-9E0A-4415-B0A8-6B625554676A}"
"316","South Morrison","CAMPUS FOR STUDENT SUCCESS","746 ADAMS DR","SOUTH","C03","S023","H085","4230","3268","1930","1573","374","204","36","{74DBF95B-9554-4FCC-B8BA-6F3A1D0B95C6}"
"317","Washington","BOOKER T. WASHINGTON SCH","3700 CHESTNUT AVE","SOUTH","C03","S023","H085","998","764","879","49","35","2","49","{BE64E1B4-5AC1-4F6D-9FDF-4803D9C2DB9E}"
"318","Wilson","IVY BAPTIST CHURCH","50 MAPLE AVE","SOUTH","C03","S023","H085","1665","1292","1290","200","85","11","42","{4995C6D9-AFBF-4821-BACF-82E93F59D7E7}"
"319","Saunders","SAUNDERS ELEM SCH","853 HARPERSVILLE RD","SOUTH","C03","S023","H085","6169","4982","2167","2974","540","222","34","{DC0EE2A6-9F5C-47E6-A6A8-0C28C15862D9}"
"320","Watkins","WATKINS EARLY CHILDHOOD CTR","21 BURNS DR","SOUTH","C03","S023","H085","7286","5760","2162","3970","506","318","41","{A6EFFDE2-67EF-4CA1-9775-F8D93BF91654}"
"321","Hilton","MAIN STREET LIBRARY","110 MAIN ST","SOUTH","C03","S024","H085","3334","2533","251","2557","255","105","13","{589A8536-E39E-4E83-A5AB-D50DEE139AE0}"
"322","Warwick","WARWICK RECREATION CTR","29 COPELAND LN","SOUTH","C03","S024","H085","2650","2128","939","1383","176","47","39","{E9F66BAE-60A4-4667-A4E5-78F91097EDE2}"
